"wage","gender","age","ageclass","ageclass2","emptype","hours","macroarea","region","citizenship","education"
810,"Male",61,"60-64","55-64","Male",36,"south","Campania","italian","middle school"
1400,"Female",60,"60-64","55-64","Female",38,"nord","Trentino alto Adige","italian","professional high school"
1580,"Male",51,"50-54","45-54","Male",40,"center","Marche","italian","professional high school"
1500,"Female",46,"45-49","45-54","Female",38,"nord","Trentino alto Adige","italian","professional high school"
400,"Female",51,"50-54","45-54","Female",18,"center","Marche","italian","middle school"
1200,"Female",34,"30-34","25-34","Female",40,"south","Sicilia","italian","high school"
1100,"Male",30,"30-34","25-34","Male",40,"south","Abruzzo","italian","high school"
1700,"Male",41,"40-44","35-44","Male",36,"south","Sardegna","italian","middle school"
1800,"Female",63,"60-64","55-64","Female",24,"nord","Lombardia","italian","high school"
1300,"Male",57,"55-59","55-64","Male",48,"south","Campania","italian","middle school"
1360,"Female",29,"25-29","25-34","Female",40,"nord","Lombardia","non-ue","college or more"
3000,"Female",63,"60-64","55-64","Female",45,"south","Puglia","italian","college or more"
1200,"Male",60,"60-64","55-64","Male",40,"nord","Veneto","italian","elementary school"
1650,"Male",45,"45-49","45-54","Male",40,"nord","Piemonte","italian","high school"
1050,"Male",54,"50-54","45-54","Male",40,"center","Lazio","italian","middle school"
1800,"Male",52,"50-54","45-54","Male",40,"nord","Trentino alto Adige","italian","middle school"
1150,"Female",27,"25-29","25-34","Female",24,"south","Puglia","italian","college or more"
820,"Female",41,"40-44","35-44","Female",25,"nord","Liguria","non-ue","middle school"
1000,"Female",65,"65-69","65-74","Female",24,"nord","Emilia Romagna","italian","middle school"
920,"Female",26,"25-29","25-34","Female",40,"nord","Emilia Romagna","italian","high school"
600,"Female",20,"20-24","15-24","Female",30,"south","Sicilia","italian","high school"
1120,"Female",26,"25-29","25-34","Female",31,"nord","Friuli Venezia Giulia","italian","high school"
500,"Female",49,"45-49","45-54","Female",18,"south","Sicilia","italian","middle school"
1800,"Female",55,"55-59","55-64","Female",36,"south","Puglia","italian","high school"
1200,"Male",35,"35-39","35-44","Male",40,"nord","Piemonte","italian","high school"
2070,"Male",57,"55-59","55-64","Male",40,"south","Sicilia","italian","college or more"
1800,"Male",53,"50-54","45-54","Male",37,"nord","Valle d'Aosta","italian","middle school"
1240,"Female",51,"50-54","45-54","Female",36,"south","Sicilia","italian","high school"
1000,"Female",50,"50-54","45-54","Female",45,"nord","Piemonte","ue","middle school"
1200,"Male",38,"35-39","35-44","Male",40,"center","Marche","italian","high school"
1650,"Male",41,"40-44","35-44","Male",30,"nord","Lombardia","italian","high school"
1250,"Female",58,"55-59","55-64","Female",36,"south","Puglia","italian","high school"
640,"Female",53,"50-54","45-54","Female",25,"center","Toscana","italian","high school"
600,"Female",48,"45-49","45-54","Female",25,"center","Toscana","italian","middle school"
850,"Female",56,"55-59","55-64","Female",25,"nord","Lombardia","italian","middle school"
1100,"Male",25,"25-29","25-34","Male",45,"nord","Lombardia","italian","professional high school"
1200,"Female",54,"50-54","45-54","Female",40,"nord","Piemonte","italian","middle school"
1230,"Female",56,"55-59","55-64","Female",40,"nord","Veneto","italian","middle school"
400,"Female",58,"55-59","55-64","Female",12,"center","Lazio","ue","professional high school"
2130,"Male",47,"45-49","45-54","Male",36,"nord","Liguria","italian","college or more"
1600,"Male",28,"25-29","25-34","Male",40,"south","Basilicata","italian","middle school"
1050,"Male",49,"45-49","45-54","Male",40,"nord","Veneto","italian","high school"
2400,"Male",45,"45-49","45-54","Male",42,"nord","Veneto","italian","high school"
1320,"Female",33,"30-34","25-34","Female",40,"nord","Veneto","italian","high school"
1000,"Female",53,"50-54","45-54","Female",24,"center","Lazio","italian","middle school"
3000,"Male",61,"60-64","55-64","Male",40,"nord","Piemonte","italian","high school"
250,"Female",51,"50-54","45-54","Female",9,"south","Basilicata","italian","middle school"
780,"Female",36,"35-39","35-44","Female",20,"nord","Veneto","italian","college or more"
1800,"Male",42,"40-44","35-44","Male",55,"center","Lazio","italian","high school"
1650,"Male",52,"50-54","45-54","Male",40,"nord","Emilia Romagna","italian","middle school"
3000,"Female",49,"45-49","45-54","Female",45,"nord","Lombardia","italian","college or more"
1300,"Male",57,"55-59","55-64","Male",40,"nord","Piemonte","italian","middle school"
980,"Female",49,"45-49","45-54","Female",30,"nord","Lombardia","italian","high school"
1730,"Male",56,"55-59","55-64","Male",50,"nord","Emilia Romagna","italian","college or more"
1400,"Female",34,"30-34","25-34","Female",36,"nord","Trentino alto Adige","italian","high school"
1400,"Female",58,"55-59","55-64","Female",40,"south","Campania","italian","high school"
2900,"Male",61,"60-64","55-64","Male",36,"nord","Piemonte","italian","college or more"
1250,"Male",53,"50-54","45-54","Male",38,"center","Toscana","italian","middle school"
1500,"Female",50,"50-54","45-54","Female",18,"center","Toscana","italian","college or more"
1220,"Female",39,"35-39","35-44","Female",40,"center","Lazio","italian","college or more"
1350,"Male",50,"50-54","45-54","Male",48,"center","Marche","non-ue","middle school"
2280,"Male",47,"45-49","45-54","Male",40,"center","Toscana","italian","college or more"
1260,"Female",24,"20-24","15-24","Female",36,"nord","Veneto","italian","college or more"
1070,"Female",47,"45-49","45-54","Female",25,"nord","Liguria","italian","high school"
1300,"Female",60,"60-64","55-64","Female",36,"south","Puglia","italian","high school"
1800,"Female",30,"30-34","25-34","Female",38,"nord","Valle d'Aosta","italian","college or more"
1350,"Male",51,"50-54","45-54","Male",36,"nord","Emilia Romagna","italian","professional high school"
1200,"Male",42,"40-44","35-44","Male",40,"south","Basilicata","italian","middle school"
1820,"Male",58,"55-59","55-64","Male",38,"nord","Liguria","italian","high school"
1000,"Male",28,"25-29","25-34","Male",25,"south","Campania","italian","high school"
1000,"Female",39,"35-39","35-44","Female",30,"south","Puglia","italian","high school"
290,"Female",56,"55-59","55-64","Female",6,"south","Sardegna","italian","middle school"
800,"Female",32,"30-34","25-34","Female",32,"nord","Piemonte","italian","college or more"
2000,"Female",53,"50-54","45-54","Female",25,"south","Sicilia","italian","high school"
1620,"Male",58,"55-59","55-64","Male",36,"nord","Trentino alto Adige","italian","middle school"
1350,"Female",46,"45-49","45-54","Female",18,"south","Sicilia","italian","college or more"
2000,"Male",45,"45-49","45-54","Male",36,"nord","Friuli Venezia Giulia","italian","high school"
2000,"Male",38,"35-39","35-44","Male",36,"center","Toscana","italian","college or more"
1200,"Female",42,"40-44","35-44","Female",32,"nord","Piemonte","italian","professional high school"
1500,"Male",38,"35-39","35-44","Male",40,"nord","Piemonte","italian","college or more"
1200,"Female",51,"50-54","45-54","Female",40,"nord","Emilia Romagna","italian","professional high school"
1310,"Male",45,"45-49","45-54","Male",40,"nord","Trentino alto Adige","italian","middle school"
930,"Female",36,"35-39","35-44","Female",20,"center","Lazio","ue","high school"
2270,"Female",40,"40-44","35-44","Female",36,"center","Lazio","italian","college or more"
1450,"Female",57,"55-59","55-64","Female",36,"south","Sardegna","italian","high school"
250,"Female",48,"45-49","45-54","Female",18,"south","Basilicata","italian","middle school"
970,"Male",45,"45-49","45-54","Male",35,"nord","Emilia Romagna","italian","high school"
1300,"Female",49,"45-49","45-54","Female",40,"nord","Veneto","italian","middle school"
1500,"Female",56,"55-59","55-64","Female",24,"center","Lazio","italian","high school"
1400,"Male",44,"40-44","35-44","Male",40,"south","Sicilia","italian","high school"
500,"Male",18,"15-19","15-24","Male",25,"nord","Lombardia","italian","middle school"
1590,"Male",29,"25-29","25-34","Male",40,"south","Basilicata","italian","high school"
1400,"Female",60,"60-64","55-64","Female",36,"nord","Friuli Venezia Giulia","italian","middle school"
900,"Female",25,"25-29","25-34","Female",25,"nord","Lombardia","italian","college or more"
2400,"Male",47,"45-49","45-54","Male",36,"south","Puglia","italian","high school"
1540,"Male",61,"60-64","55-64","Male",36,"nord","Liguria","italian","middle school"
3000,"Male",57,"55-59","55-64","Male",40,"nord","Emilia Romagna","italian","high school"
550,"Female",45,"45-49","45-54","Female",20,"center","Lazio","italian","high school"
2500,"Male",61,"60-64","55-64","Male",50,"nord","Veneto","italian","high school"
1250,"Male",38,"35-39","35-44","Male",40,"nord","Lombardia","italian","professional high school"
500,"Male",34,"30-34","25-34","Male",15,"nord","Emilia Romagna","italian","college or more"
1470,"Female",59,"55-59","55-64","Female",36,"center","Marche","italian","high school"
1500,"Female",47,"45-49","45-54","Female",40,"south","Campania","italian","high school"
950,"Male",32,"30-34","25-34","Male",30,"center","Lazio","italian","high school"
1340,"Male",55,"55-59","55-64","Male",40,"south","Sicilia","italian","college or more"
1570,"Male",25,"25-29","25-34","Male",40,"south","Sicilia","italian","high school"
1340,"Male",53,"50-54","45-54","Male",40,"center","Umbria","italian","middle school"
1400,"Male",49,"45-49","45-54","Male",50,"center","Toscana","non-ue","no schooling"
500,"Female",52,"50-54","45-54","Female",20,"nord","Trentino alto Adige","italian","middle school"
1400,"Male",42,"40-44","35-44","Male",40,"nord","Veneto","ue","high school"
1110,"Female",44,"40-44","35-44","Female",40,"nord","Piemonte","ue","high school"
1430,"Male",39,"35-39","35-44","Male",37,"south","Sardegna","italian","high school"
500,"Female",35,"35-39","35-44","Female",20,"south","Campania","italian","college or more"
2000,"Male",57,"55-59","55-64","Male",40,"nord","Veneto","non-ue","middle school"
1230,"Female",54,"50-54","45-54","Female",36,"nord","Valle d'Aosta","italian","middle school"
1400,"Male",59,"55-59","55-64","Male",40,"nord","Lombardia","italian","middle school"
2000,"Female",35,"35-39","35-44","Female",40,"nord","Lombardia","italian","high school"
1390,"Male",41,"40-44","35-44","Male",36,"nord","Piemonte","italian","high school"
2190,"Male",37,"35-39","35-44","Male",40,"nord","Trentino alto Adige","italian","middle school"
1390,"Female",63,"60-64","55-64","Female",25,"south","Calabria","italian","college or more"
1560,"Male",32,"30-34","25-34","Male",40,"nord","Piemonte","italian","high school"
870,"Male",25,"25-29","25-34","Male",40,"center","Toscana","non-ue","no schooling"
1400,"Male",51,"50-54","45-54","Male",18,"nord","Emilia Romagna","italian","college or more"
900,"Male",47,"45-49","45-54","Male",40,"nord","Friuli Venezia Giulia","italian","high school"
1100,"Male",23,"20-24","15-24","Male",40,"nord","Trentino alto Adige","italian","professional high school"
1300,"Female",38,"35-39","35-44","Female",24,"center","Toscana","italian","college or more"
3000,"Male",58,"55-59","55-64","Male",40,"nord","Lombardia","italian","high school"
1440,"Male",47,"45-49","45-54","Male",40,"nord","Trentino alto Adige","italian","middle school"
1090,"Male",25,"25-29","25-34","Male",40,"nord","Piemonte","non-ue","middle school"
1580,"Male",63,"60-64","55-64","Male",36,"center","Umbria","italian","high school"
980,"Female",36,"35-39","35-44","Female",30,"nord","Lombardia","italian","college or more"
1140,"Male",61,"60-64","55-64","Male",30,"south","Basilicata","italian","middle school"
1000,"Female",23,"20-24","15-24","Female",40,"nord","Piemonte","italian","college or more"
1350,"Male",54,"50-54","45-54","Male",38,"nord","Piemonte","italian","middle school"
1100,"Female",54,"50-54","45-54","Female",25,"nord","Trentino alto Adige","italian","college or more"
1600,"Male",63,"60-64","55-64","Male",60,"center","Lazio","italian","elementary school"
1550,"Female",49,"45-49","45-54","Female",40,"nord","Friuli Venezia Giulia","italian","high school"
1100,"Male",46,"45-49","45-54","Male",40,"nord","Piemonte","ue","high school"
1500,"Female",62,"60-64","55-64","Female",36,"south","Sicilia","italian","high school"
1000,"Female",61,"60-64","55-64","Female",18,"nord","Trentino alto Adige","italian","middle school"
700,"Female",33,"30-34","25-34","Female",24,"center","Toscana","non-ue","high school"
1300,"Male",22,"20-24","15-24","Male",50,"nord","Veneto","italian","high school"
1650,"Female",59,"55-59","55-64","Female",40,"nord","Piemonte","italian","college or more"
1690,"Male",43,"40-44","35-44","Male",40,"south","Abruzzo","italian","high school"
1500,"Male",55,"55-59","55-64","Male",40,"nord","Veneto","italian","high school"
1400,"Male",40,"40-44","35-44","Male",40,"nord","Piemonte","italian","high school"
1200,"Male",32,"30-34","25-34","Male",45,"center","Lazio","italian","high school"
1250,"Male",53,"50-54","45-54","Male",40,"south","Basilicata","italian","middle school"
800,"Female",47,"45-49","45-54","Female",24,"nord","Lombardia","italian","middle school"
1600,"Male",51,"50-54","45-54","Male",40,"center","Toscana","italian","professional high school"
1900,"Male",53,"50-54","45-54","Male",40,"nord","Veneto","italian","professional high school"
1800,"Male",61,"60-64","55-64","Male",36,"nord","Friuli Venezia Giulia","italian","college or more"
2100,"Male",41,"40-44","35-44","Male",45,"nord","Veneto","italian","professional high school"
1680,"Male",41,"40-44","35-44","Male",40,"center","Lazio","italian","college or more"
2540,"Male",32,"30-34","25-34","Male",40,"nord","Veneto","italian","high school"
400,"Female",49,"45-49","45-54","Female",20,"center","Lazio","italian","middle school"
1900,"Female",44,"40-44","35-44","Female",36,"nord","Liguria","italian","high school"
2750,"Male",45,"45-49","45-54","Male",36,"nord","Veneto","italian","college or more"
670,"Male",21,"20-24","15-24","Male",30,"center","Lazio","italian","high school"
1040,"Female",27,"25-29","25-34","Female",38,"south","Campania","italian","high school"
1800,"Male",43,"40-44","35-44","Male",36,"nord","Veneto","italian","high school"
1100,"Female",61,"60-64","55-64","Female",40,"nord","Valle d'Aosta","italian","elementary school"
1100,"Female",44,"40-44","35-44","Female",24,"nord","Emilia Romagna","italian","high school"
1700,"Male",45,"45-49","45-54","Male",36,"center","Umbria","italian","college or more"
1300,"Male",38,"35-39","35-44","Male",40,"nord","Friuli Venezia Giulia","italian","middle school"
1500,"Male",31,"30-34","25-34","Male",40,"nord","Piemonte","italian","middle school"
1900,"Female",45,"45-49","45-54","Female",40,"nord","Lombardia","italian","high school"
700,"Female",50,"50-54","45-54","Female",35,"nord","Lombardia","italian","middle school"
1250,"Male",44,"40-44","35-44","Male",40,"center","Toscana","italian","professional high school"
1600,"Male",50,"50-54","45-54","Male",36,"south","Sardegna","italian","college or more"
1500,"Female",29,"25-29","25-34","Female",36,"center","Umbria","italian","college or more"
1700,"Male",56,"55-59","55-64","Male",60,"center","Toscana","italian","middle school"
1570,"Female",61,"60-64","55-64","Female",24,"nord","Lombardia","italian","high school"
1500,"Female",39,"35-39","35-44","Female",36,"south","Sicilia","italian","college or more"
650,"Female",41,"40-44","35-44","Female",20,"south","Molise","italian","high school"
2490,"Male",48,"45-49","45-54","Male",38,"nord","Liguria","italian","college or more"
600,"Male",59,"55-59","55-64","Male",20,"center","Lazio","ue","high school"
1800,"Male",36,"35-39","35-44","Male",36,"center","Lazio","italian","high school"
1600,"Female",48,"45-49","45-54","Female",36,"nord","Friuli Venezia Giulia","italian","college or more"
1700,"Male",51,"50-54","45-54","Male",40,"nord","Trentino alto Adige","italian","elementary school"
850,"Male",22,"20-24","15-24","Male",40,"center","Umbria","non-ue","professional high school"
1190,"Female",30,"30-34","25-34","Female",55,"nord","Lombardia","italian","professional high school"
2000,"Male",46,"45-49","45-54","Male",40,"nord","Friuli Venezia Giulia","italian","high school"
1400,"Male",41,"40-44","35-44","Male",40,"nord","Trentino alto Adige","italian","college or more"
1500,"Female",46,"45-49","45-54","Female",40,"south","Sicilia","italian","high school"
1130,"Male",58,"55-59","55-64","Male",40,"south","Sardegna","italian","middle school"
1800,"Male",51,"50-54","45-54","Male",45,"center","Toscana","italian","middle school"
1010,"Male",37,"35-39","35-44","Male",40,"south","Sardegna","italian","middle school"
1300,"Male",22,"20-24","15-24","Male",36,"nord","Piemonte","italian","high school"
1500,"Male",34,"30-34","25-34","Male",36,"nord","Piemonte","italian","college or more"
600,"Female",35,"35-39","35-44","Female",15,"center","Toscana","non-ue","middle school"
1300,"Male",31,"30-34","25-34","Male",36,"south","Calabria","italian","high school"
430,"Female",65,"65-69","65-74","Female",30,"center","Lazio","italian","middle school"
1500,"Female",55,"55-59","55-64","Female",39,"center","Lazio","italian","college or more"
1000,"Female",41,"40-44","35-44","Female",40,"center","Toscana","non-ue","high school"
1550,"Female",63,"60-64","55-64","Female",30,"nord","Liguria","italian","high school"
1500,"Male",25,"25-29","25-34","Male",40,"nord","Emilia Romagna","italian","high school"
1900,"Male",39,"35-39","35-44","Male",36,"south","Sicilia","italian","high school"
700,"Female",46,"45-49","45-54","Female",20,"nord","Piemonte","italian","professional high school"
550,"Female",63,"60-64","55-64","Female",15,"center","Lazio","italian","middle school"
1250,"Male",52,"50-54","45-54","Male",40,"nord","Emilia Romagna","italian","professional high school"
810,"Female",22,"20-24","15-24","Female",40,"center","Marche","italian","high school"
1300,"Female",33,"30-34","25-34","Female",40,"nord","Friuli Venezia Giulia","italian","college or more"
250,"Female",55,"55-59","55-64","Female",15,"center","Umbria","ue","high school"
1650,"Female",46,"45-49","45-54","Female",35,"center","Marche","italian","high school"
1200,"Male",42,"40-44","35-44","Male",40,"nord","Piemonte","ue","professional high school"
1200,"Male",44,"40-44","35-44","Male",40,"nord","Lombardia","italian","middle school"
1920,"Male",45,"45-49","45-54","Male",38,"nord","Friuli Venezia Giulia","italian","college or more"
1300,"Male",44,"40-44","35-44","Male",40,"center","Marche","italian","high school"
900,"Female",33,"30-34","25-34","Female",24,"nord","Friuli Venezia Giulia","italian","high school"
1400,"Male",45,"45-49","45-54","Male",40,"nord","Trentino alto Adige","italian","professional high school"
1250,"Male",59,"55-59","55-64","Male",40,"south","Puglia","italian","middle school"
800,"Female",24,"20-24","15-24","Female",60,"south","Puglia","italian","high school"
1200,"Male",42,"40-44","35-44","Male",40,"nord","Veneto","italian","professional high school"
1480,"Female",35,"35-39","35-44","Female",35,"nord","Valle d'Aosta","italian","high school"
960,"Female",37,"35-39","35-44","Female",30,"nord","Trentino alto Adige","italian","college or more"
1600,"Female",44,"40-44","35-44","Female",24,"nord","Emilia Romagna","italian","high school"
500,"Female",29,"25-29","25-34","Female",24,"south","Puglia","italian","high school"
2800,"Female",52,"50-54","45-54","Female",40,"center","Toscana","italian","college or more"
800,"Female",25,"25-29","25-34","Female",27,"south","Puglia","italian","college or more"
1200,"Male",26,"25-29","25-34","Male",40,"center","Lazio","italian","high school"
1100,"Female",39,"35-39","35-44","Female",34,"nord","Lombardia","italian","college or more"
1500,"Female",42,"40-44","35-44","Female",39,"nord","Emilia Romagna","italian","college or more"
1290,"Male",19,"15-19","15-24","Male",40,"center","Lazio","italian","middle school"
1340,"Male",54,"50-54","45-54","Male",36,"south","Basilicata","italian","middle school"
780,"Male",32,"30-34","25-34","Male",40,"center","Marche","italian","college or more"
740,"Male",38,"35-39","35-44","Male",40,"nord","Emilia Romagna","italian","professional high school"
2260,"Male",41,"40-44","35-44","Male",38,"south","Sicilia","italian","college or more"
1400,"Male",33,"30-34","25-34","Male",40,"south","Calabria","italian","middle school"
1300,"Male",22,"20-24","15-24","Male",40,"south","Basilicata","italian","high school"
1500,"Male",47,"45-49","45-54","Male",40,"nord","Piemonte","italian","professional high school"
880,"Female",51,"50-54","45-54","Female",40,"nord","Piemonte","ue","high school"
1100,"Male",58,"55-59","55-64","Male",40,"nord","Lombardia","italian","high school"
1300,"Male",41,"40-44","35-44","Male",40,"south","Sicilia","italian","elementary school"
800,"Female",34,"30-34","25-34","Female",30,"nord","Lombardia","italian","middle school"
1000,"Male",52,"50-54","45-54","Male",30,"nord","Lombardia","non-ue","middle school"
800,"Female",45,"45-49","45-54","Female",26,"center","Marche","italian","high school"
1280,"Male",64,"60-64","55-64","Male",36,"south","Sicilia","italian","high school"
1100,"Male",23,"20-24","15-24","Male",48,"nord","Valle d'Aosta","italian","professional high school"
900,"Male",52,"50-54","45-54","Male",24,"nord","Piemonte","italian","college or more"
2000,"Male",44,"40-44","35-44","Male",48,"nord","Friuli Venezia Giulia","italian","high school"
1800,"Female",52,"50-54","45-54","Female",18,"nord","Trentino alto Adige","italian","high school"
1810,"Male",52,"50-54","45-54","Male",38,"nord","Valle d'Aosta","italian","high school"
2000,"Male",52,"50-54","45-54","Male",36,"nord","Lombardia","italian","high school"
2020,"Male",41,"40-44","35-44","Male",40,"nord","Emilia Romagna","italian","college or more"
1630,"Male",64,"60-64","55-64","Male",36,"south","Sardegna","italian","high school"
1400,"Female",58,"55-59","55-64","Female",37,"nord","Emilia Romagna","italian","middle school"
1600,"Male",39,"35-39","35-44","Male",40,"center","Marche","italian","high school"
250,"Female",34,"30-34","25-34","Female",25,"south","Sardegna","italian","middle school"
1500,"Male",51,"50-54","45-54","Male",36,"south","Abruzzo","italian","high school"
710,"Female",44,"40-44","35-44","Female",19,"nord","Trentino alto Adige","italian","professional high school"
900,"Female",36,"35-39","35-44","Female",25,"center","Umbria","italian","college or more"
660,"Female",40,"40-44","35-44","Female",50,"south","Sicilia","non-ue","no schooling"
1300,"Male",51,"50-54","45-54","Male",40,"nord","Emilia Romagna","ue","middle school"
2100,"Male",44,"40-44","35-44","Male",40,"nord","Liguria","italian","college or more"
1780,"Male",55,"55-59","55-64","Male",35,"nord","Lombardia","italian","middle school"
1000,"Male",30,"30-34","25-34","Male",36,"south","Sicilia","italian","middle school"
780,"Female",48,"45-49","45-54","Female",27,"nord","Lombardia","non-ue","middle school"
600,"Female",33,"30-34","25-34","Female",25,"nord","Piemonte","italian","middle school"
1500,"Male",45,"45-49","45-54","Male",45,"nord","Emilia Romagna","italian","professional high school"
1800,"Male",60,"60-64","55-64","Male",38,"nord","Friuli Venezia Giulia","italian","high school"
1590,"Male",52,"50-54","45-54","Male",40,"south","Basilicata","italian","middle school"
1220,"Female",49,"45-49","45-54","Female",36,"south","Sicilia","italian","high school"
1110,"Male",40,"40-44","35-44","Male",40,"south","Sicilia","italian","middle school"
2630,"Female",52,"50-54","45-54","Female",40,"south","Sicilia","italian","college or more"
800,"Female",50,"50-54","45-54","Female",40,"south","Sardegna","non-ue","middle school"
800,"Female",60,"60-64","55-64","Female",50,"south","Campania","italian","no schooling"
1380,"Male",26,"25-29","25-34","Male",40,"nord","Lombardia","italian","college or more"
1200,"Female",46,"45-49","45-54","Female",30,"south","Calabria","italian","college or more"
1350,"Female",46,"45-49","45-54","Female",25,"nord","Friuli Venezia Giulia","italian","high school"
1290,"Female",42,"40-44","35-44","Female",40,"nord","Lombardia","italian","high school"
1730,"Female",39,"35-39","35-44","Female",40,"center","Umbria","italian","college or more"
1600,"Male",42,"40-44","35-44","Male",40,"center","Toscana","italian","high school"
1450,"Female",58,"55-59","55-64","Female",36,"center","Toscana","italian","middle school"
1110,"Male",34,"30-34","25-34","Male",40,"center","Toscana","italian","middle school"
1800,"Male",45,"45-49","45-54","Male",38,"nord","Trentino alto Adige","italian","professional high school"
2000,"Female",58,"55-59","55-64","Female",50,"nord","Piemonte","italian","college or more"
250,"Female",49,"45-49","45-54","Female",4,"nord","Liguria","italian","high school"
1600,"Male",42,"40-44","35-44","Male",40,"nord","Lombardia","italian","high school"
1600,"Male",49,"45-49","45-54","Male",40,"nord","Lombardia","italian","elementary school"
2060,"Female",38,"35-39","35-44","Female",36,"center","Toscana","italian","college or more"
1950,"Male",51,"50-54","45-54","Male",48,"center","Toscana","italian","high school"
1700,"Female",53,"50-54","45-54","Female",36,"center","Lazio","italian","high school"
1000,"Female",41,"40-44","35-44","Female",12,"center","Toscana","italian","college or more"
1950,"Male",62,"60-64","55-64","Male",45,"center","Lazio","italian","college or more"
1400,"Male",59,"55-59","55-64","Male",40,"south","Abruzzo","italian","high school"
1500,"Male",33,"30-34","25-34","Male",40,"nord","Trentino alto Adige","italian","professional high school"
440,"Female",21,"20-24","15-24","Female",4,"south","Campania","italian","high school"
1500,"Male",40,"40-44","35-44","Male",45,"nord","Veneto","italian","high school"
1100,"Male",31,"30-34","25-34","Male",40,"center","Marche","italian","middle school"
1600,"Male",52,"50-54","45-54","Male",36,"south","Campania","italian","high school"
800,"Female",48,"45-49","45-54","Female",25,"south","Abruzzo","non-ue","middle school"
1000,"Female",25,"25-29","25-34","Female",40,"nord","Lombardia","non-ue","middle school"
2200,"Female",41,"40-44","35-44","Female",40,"center","Umbria","italian","college or more"
1480,"Female",54,"50-54","45-54","Female",30,"nord","Veneto","italian","high school"
1350,"Male",54,"50-54","45-54","Male",46,"nord","Liguria","italian","professional high school"
980,"Female",58,"55-59","55-64","Female",40,"nord","Piemonte","italian","middle school"
740,"Female",57,"55-59","55-64","Female",15,"nord","Lombardia","italian","middle school"
1300,"Male",35,"35-39","35-44","Male",30,"south","Campania","italian","middle school"
1250,"Male",22,"20-24","15-24","Male",40,"nord","Lombardia","non-ue","middle school"
1800,"Female",59,"55-59","55-64","Female",36,"nord","Emilia Romagna","italian","high school"
1270,"Female",61,"60-64","55-64","Female",36,"center","Lazio","italian","high school"
900,"Female",49,"45-49","45-54","Female",20,"nord","Piemonte","italian","high school"
1360,"Female",50,"50-54","45-54","Female",36,"south","Sicilia","italian","high school"
1700,"Male",36,"35-39","35-44","Male",40,"nord","Emilia Romagna","italian","high school"
1500,"Female",32,"30-34","25-34","Female",38,"nord","Friuli Venezia Giulia","italian","college or more"
1700,"Male",44,"40-44","35-44","Male",37,"nord","Piemonte","italian","middle school"
1690,"Female",32,"30-34","25-34","Female",40,"nord","Veneto","italian","college or more"
1900,"Female",64,"60-64","55-64","Female",40,"south","Campania","italian","college or more"
860,"Female",30,"30-34","25-34","Female",15,"center","Marche","italian","high school"
640,"Female",74,"70-74","65-74","Female",60,"south","Basilicata","ue","elementary school"
1300,"Female",44,"40-44","35-44","Female",24,"nord","Liguria","italian","high school"
1200,"Male",48,"45-49","45-54","Male",40,"center","Toscana","italian","college or more"
1030,"Female",33,"30-34","25-34","Female",40,"nord","Lombardia","italian","high school"
250,"Female",41,"40-44","35-44","Female",16,"nord","Liguria","non-ue","middle school"
490,"Male",26,"25-29","25-34","Male",40,"south","Campania","italian","middle school"
1560,"Male",50,"50-54","45-54","Male",40,"nord","Emilia Romagna","italian","middle school"
1300,"Female",48,"45-49","45-54","Female",30,"nord","Veneto","italian","high school"
1700,"Female",44,"40-44","35-44","Female",36,"nord","Lombardia","italian","high school"
1100,"Female",61,"60-64","55-64","Female",30,"nord","Piemonte","italian","high school"
1300,"Male",57,"55-59","55-64","Male",40,"nord","Lombardia","non-ue","high school"
1600,"Male",46,"45-49","45-54","Male",40,"nord","Emilia Romagna","italian","college or more"
1060,"Female",55,"55-59","55-64","Female",40,"center","Marche","italian","middle school"
780,"Female",60,"60-64","55-64","Female",40,"south","Sicilia","italian","middle school"
1400,"Female",49,"45-49","45-54","Female",40,"nord","Piemonte","italian","middle school"
1100,"Female",24,"20-24","15-24","Female",36,"nord","Lombardia","italian","middle school"
970,"Female",41,"40-44","35-44","Female",21,"center","Toscana","italian","high school"
2500,"Male",56,"55-59","55-64","Male",40,"nord","Lombardia","italian","professional high school"
1000,"Female",26,"25-29","25-34","Female",40,"south","Sicilia","italian","high school"
1260,"Female",26,"25-29","25-34","Female",18,"nord","Liguria","italian","high school"
2750,"Female",36,"35-39","35-44","Female",38,"nord","Lombardia","italian","college or more"
1250,"Male",60,"60-64","55-64","Male",36,"south","Basilicata","italian","middle school"
2500,"Male",42,"40-44","35-44","Male",40,"nord","Piemonte","italian","college or more"
930,"Female",48,"45-49","45-54","Female",20,"center","Toscana","italian","middle school"
970,"Male",55,"55-59","55-64","Male",40,"nord","Piemonte","italian","middle school"
1180,"Male",31,"30-34","25-34","Male",36,"south","Sicilia","italian","high school"
1000,"Male",50,"50-54","45-54","Male",30,"nord","Veneto","italian","middle school"
1940,"Female",61,"60-64","55-64","Female",38,"nord","Trentino alto Adige","italian","professional high school"
1530,"Male",52,"50-54","45-54","Male",40,"nord","Piemonte","italian","professional high school"
1840,"Male",56,"55-59","55-64","Male",45,"center","Umbria","italian","middle school"
1500,"Female",49,"45-49","45-54","Female",30,"center","Toscana","italian","college or more"
2040,"Female",27,"25-29","25-34","Female",42,"nord","Lombardia","italian","college or more"
1900,"Male",48,"45-49","45-54","Male",38,"nord","Lombardia","italian","high school"
1200,"Male",52,"50-54","45-54","Male",40,"south","Puglia","italian","middle school"
